amplxe: Using result path `/scratch2/scratchdirs/marchdf/pelec-filter-scaling/vtune/0pts.nid00121'
amplxe: Executing actions  0 %                                                 amplxe: Executing actions  0 % Finalizing results                              amplxe: Executing actions 50 % Finalizing results                              amplxe: Executing actions 50 % Generating a report                             amplxe: Executing actions 50 % Setting data model parameters                   amplxe: Executing actions 75 % Setting data model parameters                   amplxe: Executing actions 75 % Generating a report                             amplxe: Executing actions 100 % Generating a report                            amplxe: Executing actions 100 % done                                           
Function	CPU Time	Memory Bound(%)	Memory Bound:L1 Bound(%)	Memory Bound:L2 Bound(%)	Memory Bound:L3 Bound(%)	Memory Bound:DRAM Bound(%)	Memory Bound:DRAM Bound:Memory Bandwidth(%)	Memory Bound:DRAM Bound:Memory Latency(%)	Memory Bound:DRAM Bound:Memory Latency:Remote / Local memory Ratio	Loads	Stores	LLC Miss Count	LLC Miss Count:Local DRAM Access Count	LLC Miss Count:Remote DRAM Access Count	LLC Miss Count:Remote Cache Access Count	Average Latency (cycles)	Module	Function (Full)	Source File	Start Address
adler32_z	0.732000	1.7	0.7	0.0	0.0	1.5	3.7	24.0	0.0	759222776	96802904	0	0	0	0	1.000000	libtpsstool.so	adler32_z	[Unknown]	0x5f5040
MPIDI_CH3I_Progress	0.715000	1.6	2.4	0.0	0.0	0.0	2.4	29.4	0.0	571217136	188805664	0	0	0	0	1.000000	libmpich_intel.so.3.0.1	MPIDI_CH3I_Progress	[Unknown]	0x213820
_int_free	0.704000	76.0	7.2	0.0	4.8	0.0	12.7	14.3	0.0	193605808	127203816	0	0	0	0	1.000000	libc-2.22.so	_int_free	[Unknown]	0x77dc0
func@0x5ec7f2	0.695000	5.4	1.6	0.0	0.0	0.0	11.2	13.6	0.0	1080832424	36001080	0	0	0	0	1.000000	libtpsstool.so	func@0x5ec7f2	[Unknown]	0x5ec7f2
func@0x5ea8e0	0.686000	43.0	7.9	0.0	0.0	4.4	14.9	25.5	0.0	284008520	188005640	0	0	0	0	1.000000	libtpsstool.so	func@0x5ea8e0	[Unknown]	0x5ea8e0
copy_user_enhanced_fast_string	0.663000	100.0	5.0	0.0	1.4	9.5	10.9	23.4	0.0	203206096	72002160	800024	800024	0	0	1.000000	vmlinux	copy_user_enhanced_fast_string	[Unknown]	0xffffffff812aeb70
down_read_trylock	0.604000	100.0	33.5	0.0	0.0	10.9	0.9	5.4	0.0	21600648	5600168	0	0	0	0	1.000000	vmlinux	down_read_trylock	[Unknown]	0xffffffff81097350
pc_estdt	0.601000	60.8	17.3	0.0	3.9	0.0	3.9	16.4	0.0	149604488	135204056	0	0	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	pc_estdt	timestep.F90	0x97ae70
actual_eos_wb	0.592000	28.0	5.7	0.0	0.0	4.8	8.6	18.1	0.0	396811904	180805424	0	800024	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	actual_eos_wb	gamma_law.F90	0x9187a0
func@0x5f3e78	0.564000	1.6	1.1	0.0	0.0	0.0	11.6	22.2	0.0	284008520	149604488	0	0	0	0	1.000000	libtpsstool.so	func@0x5f3e78	[Unknown]	0x5f3e78
applibc___errno_location	0.561000	6.8	3.0	0.0	3.0	0.0	15.8	23.7	0.0	37601128	29600888	0	0	0	0	1.000000	libtpsstool.so	applibc___errno_location	[Unknown]	0xc1000
func@0x5f30f0	0.538000	8.2	7.0	0.0	0.0	0.0	12.1	13.1	0.0	133604008	40801224	0	0	0	0	1.000000	libtpsstool.so	func@0x5f30f0	[Unknown]	0x5f30f0
OS_SyscallReturnValue	0.531000	22.6	25.5	1.2	0.0	1.2	15.0	22.0	0.0	45601368	0	0	0	0	0	1.000000	libc-dynamic.so	OS_SyscallReturnValue	[Unknown]	0x71000
error_entry	0.524000	0.0	0.0	0.0	0.0	3.4	2.3	4.6	0.0	5600168	12800384	0	0	0	0	0.0	vmlinux	error_entry	[Unknown]	0xffffffff81508200
queued_spin_lock_slowpath	0.523000	75.3	23.3	0.0	0.0	5.8	1.2	2.3	0.0	33601008	800024	0	0	0	0	0.0	vmlinux	queued_spin_lock_slowpath	[Unknown]	0xffffffff81097b30
_int_malloc	0.522000	67.2	9.0	3.4	2.2	0.0	12.3	17.9	0.0	60001800	128003840	0	0	0	0	1.000000	libc-2.22.so	_int_malloc	[Unknown]	0x79220
eos_re	0.501000	21.0	2.3	0.0	0.0	1.2	5.8	29.1	0.0	71202136	652819584	0	0	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	eos_re	eos.F90	0x916170
func@0x5a3c10	0.494000	22.7	1.3	0.0	0.0	3.9	16.8	12.9	0.0	105603168	434413032	0	0	0	0	1.000000	libtpsstool.so	func@0x5a3c10	[Unknown]	0x5a3c10
page_counter_cancel	0.489000	100.0	46.4	0.0	0.0	1.1	0.0	4.4	0.0	10400312	10400312	0	0	0	0	0.0	vmlinux	page_counter_cancel	[Unknown]	0xffffffff811a52f0
getrawmonotonic64	0.484000	100.0	26.5	0.0	1.1	0.0	10.6	6.4	0.0	104003120	176805304	0	0	0	0	1.000000	vmlinux	getrawmonotonic64	[Unknown]	0xffffffff810b7180
syscall	0.475000	46.7	1.2	0.0	0.0	1.2	16.0	8.6	0.0	129603888	119203576	0	0	0	0	1.000000	libc-dynamic.so	syscall	[Unknown]	0x16010
